time_s,p_in_bar,p_out_bar,q_m3s,comp_speed_frac
128,50.88941199340996,47.361411545830784,1.0,0.8426666666666667
129,50.85170277744285,47.34017174769507,1.0,0.8430000000000001
130,50.813619998523336,47.31909474270478,1.0,0.8433333333333334
131,50.77518036003164,47.29818573098879,1.0,0.8436666666666667
132,50.73640072186916,47.27744987122858,1.0,0.8440000000000001
133,50.69729809306357,47.2568922793855,1.0,0.8443333333333334
134,50.657889624308595,47.23651802743853,1.0,0.8446666666666667
135,50.618192600441525,47.21633214213298,1.0,0.8450000000000001
136,50.57822443286201,47.19633960374023,1.0,0.8453333333333334
137,50.538002651895276,47.17654534482901,1.0,0.8456666666666667
138,50.49754489910319,47.156954249048454,1.0,0.8460000000000001
139,50.45686891954658,47.13757114992318,1.0,0.8463333333333334
140,50.41599255400207,47.11840082966079,1.0,0.8466666666666667
141,50.37493373113704,47.09944801797196,1.0,0.8470000000000001
142,50.33371045964596,47.08071739090355,1.0,0.8473333333333334
143,50.292340820351626,47.06221356968493,1.0,0.8476666666666667
144,50.25084295827482,47.043941119587814,1.0,0.8480000000000001
145,50.20923507467577,47.02590454879993,1.0,0.8483333333333334
146,50.1675354190709,47.008108307312746,1.0,0.8486666666666667
147,50.12576228122852,46.99055678582356,1.0,0.8490000000000001
148,50.083933983146764,46.97325431465224,1.0,0.8493333333333334
149,50.04206887101746,46.95620516267283,1.0,0.8496666666666667
150,50.00018530717932,46.939413536260375,1.0,0.8500000000000001
151,49.95830166206412,46.92288357825304,1.0,0.8503333333333334
152,49.91643630613929,46.906619366930066,1.0,0.8506666666666667
153,49.874607601850464,46.89062491500553,1.0,0.8510000000000001
154,49.832833895567646,46.87490416863835,1.0,0.8513333333333334
155,49.791133509538284,46.859461006458666,1.0,0.8516666666666667
156,49.749524733851054,46.84429923861092,1.0,0.8520000000000001
157,49.70802581841367,46.82942260581381,1.0,0.8523333333333334
158,49.666654964948364,46.81483477843736,1.0,0.8526666666666667
159,49.62543031900845,46.80053935559741,1.0,0.8530000000000001
160,49.584369962019586,46.786539864267574,1.0,0.8533333333333334
161,49.54349190334912,46.77283975840915,1.0,0.8536666666666667
162,49.50281407240703,46.75944241811885,1.0,0.8540000000000001
163,49.46235431078199,46.746351148794965,1.0,0.8543333333333334
164,49.4221303644159,46.73356918032179,1.0,0.8546666666666667
165,49.3821598758204,46.721099666272764,1.0,0.8550000000000001
166,49.34246037633873,46.70894568313242,1.0,0.8553333333333334
167,49.303049278456356,46.697110229537365,1.0,0.8556666666666667
168,49.26394386816373,46.68559622553642,1.0,0.8560000000000001
169,49.22516129737454,46.67440651187023,1.0,0.8563333333333334
170,49.186718576402754,46.663543849270354,1.0,0.8566666666666667
171,49.14863256650175,46.65301091777816,1.0,0.857
172,49.1109199724689,46.64281031608361,1.0,0.8573333333333334
173,49.07359733531867,46.63294456088407,1.0,0.8576666666666667
174,49.03668102502763,46.62341608626344,1.0,0.8580000000000001
175,49.000187233354524,46.614227243091584,1.0,0.8583333333333334
176,48.964131966738336,46.60538029844434,1.0,0.8586666666666667
177,48.92853103927784,46.596877435044156,1.0,0.859
178,48.893400065795404,46.58872075072161,1.0,0.8593333333333334
179,48.85875445498819,46.5809122578978,1.0,0.8596666666666667
180,48.824609402669815,46.57345388308785,1.0,0.8600000000000001
181,48.790979885105344,46.566347466425604,1.0,0.8603333333333334
182,48.757880652442594,46.5595947612096,1.0,0.8606666666666667
183,48.72532622224264,46.55319743347056,1.0,0.861
184,48.69333087311227,46.547157061560256,1.0,0.8613333333333334
185,48.661908638441275,46.54147513576218,1.0,0.8616666666666667
186,48.63107330024739,46.5361530579238,1.0,0.8620000000000001
187,48.60083838313129,46.531192141110736,1.0,0.8623333333333334
188,48.57121714834467,46.52659360928279,1.0,0.8626666666666667
189,48.54222258797377,46.52235859699196,1.0,0.863
190,48.513867419240896,46.51848814910251,1.0,0.8633333333333334
191,48.48616407892662,46.51498322053323,1.0,0.8636666666666667
192,48.45912471791488,46.51184467602178,1.0,0.8640000000000001
193,48.432761195863534,46.50907328991139,1.0,0.8643333333333334
194,48.407085076002595,46.506669745959776,1.0,0.8646666666666667
195,48.38210762006258,46.50463463717046,1.0,0.865
196,48.35783978333495,46.502968465646475,1.0,0.8653333333333334
197,48.33429220986713,46.50167164246646,1.0,0.8656666666666667
198,48.31147522779387,46.50074448758326,1.0,0.8660000000000001
199,48.289398844807316,46.50018722974497,1.0,0.8663333333333334
200,48.268072743767526,46.50000000643852,1.0,0.8666666666666667
201,48.24750627845551,46.50018286385573,1.0,0.867
202,48.22770846947059,46.50073575688192,1.0,0.8673333333333334
